,F1 Score,Accuracy,Precision,Recall
evaluation_results_rf01.xlsx,0.286436288,0.382352941,0.30730897,0.298736802
evaluation_results_rf02.xlsx,0.334293148,0.68627451,0.464347079,0.335702341
evaluation_results_rf03.xlsx,0.340526275,0.588235294,0.445670996,0.384238226
evaluation_results_rf04.xlsx,0.466018264,0.578431373,0.600105205,0.501261905
evaluation_results_rf05.xlsx,0.359531458,0.705882353,0.811895425,0.574853801
evaluation_results_rf06.xlsx,0.51084279,0.705882353,0.555532787,0.465165043
evaluation_results_rf07.xlsx,0.301562515,0.470588235,0.366346974,0.349291091
evaluation_results_rf08.xlsx,0.255315767,0.431372549,0.248512508,0.253780566
evaluation_results_rf09.xlsx,0.22367323,0.333333333,0.166899767,0.228484848
evaluation_results_rf10.xlsx,0.192603121,0.421568627,0.216312057,0.210714286
evaluation_results_rf11.xlsx,0.305682879,0.480392157,0.378766649,0.329413253
evaluation_results_rf12.xlsx,0.237662167,0.490196078,0.352795799,0.291077441
evaluation_results_rf13.xlsx,0.22635054,0.37254902,0.16038961,0.236969697
evaluation_results_rf14.xlsx,0.305356101,0.470588235,0.259444444,0.239304619
evaluation_results_rf15.xlsx,0.279432443,0.382352941,0.329138063,0.291201346
evaluation_results_rf16.xlsx,0.416281754,0.715686275,0.381985451,0.366464891
evaluation_results_svm01.xlsx,0.308931371,0.431372549,0.3192764,0.327376396
evaluation_results_svm02.xlsx,0.377477041,0.549019608,0.409363027,0.577335165
evaluation_results_svm03.xlsx,0.361295198,0.539215686,0.340981625,0.351984127
evaluation_results_svm04.xlsx,0.45385297,0.607843137,0.59938724,0.52284872
evaluation_results_svm05.xlsx,0.44802637,0.588235294,0.321576355,0.374818841
evaluation_results_svm06.xlsx,0.451998866,0.735294118,0.687465049,0.659790891
evaluation_results_svm07.xlsx,0.346348344,0.431372549,0.3299106,0.358682059
evaluation_results_svm08.xlsx,0.340178706,0.480392157,0.327187845,0.396488095
evaluation_results_svm09.xlsx,0.271836389,0.392156863,0.360764921,0.329781547
evaluation_results_svm10.xlsx,0.337386817,0.382352941,0.44714701,0.392896825
evaluation_results_svm11.xlsx,0.322066437,0.431372549,0.295975976,0.297982456
evaluation_results_svm12.xlsx,0.349139662,0.392156863,0.346933622,0.349761905
evaluation_results_svm13.xlsx,0.29374125,0.352941176,0.289683794,0.297619048
evaluation_results_svm14.xlsx,0.432913346,0.539215686,0.478904429,0.412453416
evaluation_results_svm15.xlsx,0.338684093,0.460784314,0.399230769,0.371666667
evaluation_results_svm16.xlsx,0.433128949,0.529411765,0.45794104,0.532936508
