Question,Accuracy,F1 Score,Precision,Recall
1,0.278431373,0.13207853,0.244070031,0.207737256
2,0.232026144,0.140132172,0.313890283,0.233509271
3,0.111764706,0.052742815,0.247351566,0.200717638
4,0.247712418,0.229352444,0.296377215,0.264207772
5,0.186928105,0.187313896,0.314618076,0.243389665
6,0.490196078,0.237371071,0.254576296,0.243960133
7,0.211764706,0.196576364,0.300262904,0.239884014
8,0.319607843,0.221420753,0.247030436,0.234803742
9,0.193464052,0.147560084,0.213419357,0.227625864
10,0.309803922,0.199693987,0.338087978,0.236342503
11,0.258823529,0.217519193,0.306447626,0.254636452
12,0.30130719,0.217460678,0.234862155,0.227498591
13,0.280392157,0.203155954,0.323639849,0.227249358
14,0.204575163,0.157972244,0.293168461,0.222673095
15,0.158823529,0.140133168,0.23825459,0.193158633
16,0.411111111,0.241451298,0.27737778,0.291033552
